scientificName,decimalLatitude,decimalLongitude,eventDate
"Katsuwonus pelamis (Linnaeus, 1758)",-34.9,-72.666667,2021-03-15
"Katsuwonus pelamis (Linnaeus, 1758)",-34.9,-72.666667,2021-03-15
"Katsuwonus pelamis (Linnaeus, 1758)",-34.9,-72.666667,2021-03-15
"Katsuwonus pelamis (Linnaeus, 1758)",10.56,72.64,2021-04-11
"Katsuwonus pelamis (Linnaeus, 1758)",-32.917788,-71.510931,2021-04-25T10:16
BOLD:AAA5421,10.5593,72.6358,2021-04-11
"Katsuwonus pelamis (Linnaeus, 1758)",-42.55,-74.333333,2021-04
"Katsuwonus pelamis (Linnaeus, 1758)",-42.55,-74.583333,2021-04-18T18:55
"Katsuwonus pelamis (Linnaeus, 1758)",-5.318201,105.198376,2021-05-12
"Katsuwonus pelamis (Linnaeus, 1758)",-34.916667,-72.866667,2021-05-03
"Katsuwonus pelamis (Linnaeus, 1758)",-34.85,-72.8,2021-05-03
"Katsuwonus pelamis (Linnaeus, 1758)",-34.716667,-72.6,2021-05-03
"Katsuwonus pelamis (Linnaeus, 1758)",-34.85,-72.8,2021-05-03
"Katsuwonus pelamis (Linnaeus, 1758)",-34.916667,-72.866667,2021-05-03
"Katsuwonus pelamis (Linnaeus, 1758)",-34.716667,-72.6,2021-05-03
"Katsuwonus pelamis (Linnaeus, 1758)",4.179908,73.5097,2021-06-11T08:18:42
"Katsuwonus pelamis (Linnaeus, 1758)",7.203172,79.829033,2021-07-05T05:18:25
"Katsuwonus pelamis (Linnaeus, 1758)",22.156581,-159.263855,2021-08-15T07:40:10
"Katsuwonus pelamis (Linnaeus, 1758)",3.48326,72.8028,2021-10-11T09:23Z
"Katsuwonus pelamis (Linnaeus, 1758)",-35.383333,-73.083333,2021-10-20
"Katsuwonus pelamis (Linnaeus, 1758)",-35.383333,-73.083333,2021-10-20
